time,wx (rad/s)
"9,822",1
"9,828","1,01"
"9,828","1,01"
"9,833","1,01"
"9,834","1,01"
"9,834","1,01"
"9,839","1,01"
"9,842","1,01"
"9,844","1,01"
"9,844","1,01"
"9,848","1,01"
"9,855","1,01"
"9,855","1,01"
"9,855","1,01"
"9,857","1,01"
"9,861","1,01"
"9,864","1,01"
"9,864","1,01"
"9,867","1,01"
"9,873","1,01"
"9,874","1,01"
"9,876","1,01"
"9,877",1
"9,88",1
"9,883","1,01"
"9,888","1,01"
"9,89",1
"9,89",1
"9,893",1
"9,897",1
"9,899",1
"9,899",1
"9,903",1
"9,906","0,99"
"9,909","0,99"
"9,909","0,99"
"9,912","0,99"
"9,915","0,99"
"9,919","0,98"
"9,929","0,98"
"9,93","0,98"
"9,931","0,98"
"9,932","0,98"
"9,932","0,97"
"9,934","0,97"
"9,938","0,97"
"9,942","0,97"
"9,942","0,97"
"9,944","0,97"
"9,946","0,97"
"9,947","0,96"
"9,951","0,96"
"9,952","0,96"
"9,958","0,96"
"9,96","0,95"
"9,96","0,95"
"9,962","0,95"
"9,968","0,94"
"9,969","0,94"
"9,97","0,94"
"9,974","0,94"
"9,976","0,93"
"9,98","0,93"
"9,982","0,93"
"9,982","0,92"
"9,987","0,92"
"9,989","0,92"
"9,989","0,91"
"9,991","0,91"
"9,995","0,91"
"9,999","0,9"
"10,002","0,9"
"10,003","0,9"
"10,007","0,89"
"10,008","0,89"
"10,011","0,88"
"10,017","0,88"
"10,017","0,87"
"10,017","0,87"
"10,023","0,87"
"10,025","0,86"
"10,026","0,86"
"10,029","0,85"
"10,032","0,85"
"10,034","0,84"
"10,034","0,84"
"10,038","0,83"
"10,044","0,83"
"10,045","0,82"
"10,045","0,82"
"10,05","0,81"
"10,053","0,81"
"10,054","0,8"
"10,054","0,8"
"10,059","0,79"
"10,062","0,79"
"10,069","0,78"
"10,07","0,77"
"10,07","0,77"
"10,071","0,76"
"10,078","0,76"
"10,079","0,75"
"10,08","0,74"
"10,081","0,74"
"10,085","0,73"
"10,086","0,73"
"10,087","0,72"
"10,092","0,71"
"10,094","0,7"
"10,094","0,7"
"10,097","0,69"
"10,1","0,68"
"10,104","0,68"
"10,106","0,67"
"10,107","0,67"
"10,11","0,66"
"10,113","0,66"
"10,117","0,65"
"10,118","0,64"
"10,119","0,63"
"10,123","0,63"
"10,126","0,62"
"10,13","0,61"
"10,131","0,61"
"10,131","0,6"
"10,135","0,59"
"10,139","0,59"
"10,141","0,58"
"10,142","0,57"
"10,146","0,56"
"10,149","0,56"
"10,153","0,55"
"10,153","0,54"
"10,156","0,53"
"10,161","0,53"
"10,163","0,52"
"10,163","0,51"
"10,165","0,51"
"10,17","0,5"
"10,173","0,49"
"10,173","0,48"
"10,175","0,48"
"10,18","0,47"
"10,183","0,46"
"10,184","0,46"
"10,185","0,45"
"10,194","0,44"
"10,195","0,43"
"10,196","0,42"
"10,196","0,42"
"10,201","0,41"
"10,202","0,4"
"10,203","0,39"
"10,214","0,39"
"10,216","0,38"
"10,216","0,37"
"10,216","0,36"
